,Unnamed: 0,capped_normalized_return,eval_episode_return,eval_frame_rate,eval_num_episodes,frame,human_gap,iteration,normalized_return,train_episode_return,train_exploration_epsilon,train_frame_rate,train_num_episodes,environment_name,seed,agent_id,agent_name
38,38,-1,6000.0,-1,-1,7600000,-1,-1,0.7644730963170996,-1,-1,-1,-1,road_runner,2022,hyperdqn,HyperDQN
39,39,-1,7820.0,-1,-1,7800000,-1,-1,0.996808578540882,-1,-1,-1,-1,road_runner,2022,hyperdqn,HyperDQN
40,40,-1,7260.0,-1,-1,8000000,-1,-1,0.9253207378566414,-1,-1,-1,-1,road_runner,2022,hyperdqn,HyperDQN
41,41,-1,2320.0,-1,-1,8200000,-1,-1,0.294695857534946,-1,-1,-1,-1,road_runner,2022,hyperdqn,HyperDQN
42,42,-1,5560.0,-1,-1,8400000,-1,-1,0.7083040786366247,-1,-1,-1,-1,road_runner,2022,hyperdqn,HyperDQN
43,43,-1,5460.0,-1,-1,8600000,-1,-1,0.6955383928001532,-1,-1,-1,-1,road_runner,2022,hyperdqn,HyperDQN
44,44,-1,6020.0,-1,-1,8800000,-1,-1,0.7670262334843939,-1,-1,-1,-1,road_runner,2022,hyperdqn,HyperDQN
45,45,-1,8940.0,-1,-1,9000000,-1,-1,1.1397842599093635,-1,-1,-1,-1,road_runner,2022,hyperdqn,HyperDQN
46,46,-1,11920.0,-1,-1,9200000,-1,-1,1.5202016978362165,-1,-1,-1,-1,road_runner,2022,hyperdqn,HyperDQN
47,47,-1,6700.0,-1,-1,9400000,-1,-1,0.8538328971724006,-1,-1,-1,-1,road_runner,2022,hyperdqn,HyperDQN
48,48,-1,8020.0,-1,-1,9600000,-1,-1,1.0223399502138253,-1,-1,-1,-1,road_runner,2022,hyperdqn,HyperDQN
49,49,-1,7560.0,-1,-1,9800000,-1,-1,0.963617795366056,-1,-1,-1,-1,road_runner,2022,hyperdqn,HyperDQN
50,50,-1,6240.0,-1,-1,10000000,-1,-1,0.7951107423246314,-1,-1,-1,-1,road_runner,2022,hyperdqn,HyperDQN
51,51,-1,8480.0,-1,-1,10200000,-1,-1,1.0810621050615945,-1,-1,-1,-1,road_runner,2022,hyperdqn,HyperDQN
52,52,-1,11820.0,-1,-1,10400000,-1,-1,1.5074360119997448,-1,-1,-1,-1,road_runner,2022,hyperdqn,HyperDQN
53,53,-1,8920.0,-1,-1,10600000,-1,-1,1.1372311227420693,-1,-1,-1,-1,road_runner,2022,hyperdqn,HyperDQN
54,54,-1,10720.0,-1,-1,10800000,-1,-1,1.3670134677985577,-1,-1,-1,-1,road_runner,2022,hyperdqn,HyperDQN
55,55,-1,10720.0,-1,-1,11000000,-1,-1,1.3670134677985577,-1,-1,-1,-1,road_runner,2022,hyperdqn,HyperDQN
56,56,-1,8440.0,-1,-1,11200000,-1,-1,1.0759558307270058,-1,-1,-1,-1,road_runner,2022,hyperdqn,HyperDQN
57,57,-1,5160.0,-1,-1,11400000,-1,-1,0.6572413352907385,-1,-1,-1,-1,road_runner,2022,hyperdqn,HyperDQN
58,58,-1,9660.0,-1,-1,11600000,-1,-1,1.2316971979319589,-1,-1,-1,-1,road_runner,2022,hyperdqn,HyperDQN
59,59,-1,8660.0,-1,-1,11800000,-1,-1,1.1040403395672431,-1,-1,-1,-1,road_runner,2022,hyperdqn,HyperDQN
60,60,-1,9240.0,-1,-1,12000000,-1,-1,1.1780813174187783,-1,-1,-1,-1,road_runner,2022,hyperdqn,HyperDQN
61,61,-1,13460.0,-1,-1,12200000,-1,-1,1.7167932597178783,-1,-1,-1,-1,road_runner,2022,hyperdqn,HyperDQN
62,62,-1,9640.0,-1,-1,12400000,-1,-1,1.2291440607646646,-1,-1,-1,-1,road_runner,2022,hyperdqn,HyperDQN
63,63,-1,8900.0,-1,-1,12600000,-1,-1,1.134677985574775,-1,-1,-1,-1,road_runner,2022,hyperdqn,HyperDQN
64,64,-1,5920.0,-1,-1,12800000,-1,-1,0.7542605476479224,-1,-1,-1,-1,road_runner,2022,hyperdqn,HyperDQN
65,65,-1,8700.0,-1,-1,13000000,-1,-1,1.1091466139018318,-1,-1,-1,-1,road_runner,2022,hyperdqn,HyperDQN
66,66,-1,12780.0,-1,-1,13200000,-1,-1,1.6299865960298716,-1,-1,-1,-1,road_runner,2022,hyperdqn,HyperDQN
67,67,-1,11380.0,-1,-1,13400000,-1,-1,1.4512669943192698,-1,-1,-1,-1,road_runner,2022,hyperdqn,HyperDQN
68,68,-1,11680.0,-1,-1,13600000,-1,-1,1.4895640518286846,-1,-1,-1,-1,road_runner,2022,hyperdqn,HyperDQN
69,69,-1,8100.0,-1,-1,13800000,-1,-1,1.0325524988830024,-1,-1,-1,-1,road_runner,2022,hyperdqn,HyperDQN
70,70,-1,10740.0,-1,-1,14000000,-1,-1,1.3695666049658517,-1,-1,-1,-1,road_runner,2022,hyperdqn,HyperDQN
71,71,-1,9020.0,-1,-1,14200000,-1,-1,1.1499968085785408,-1,-1,-1,-1,road_runner,2022,hyperdqn,HyperDQN
72,72,-1,9040.0,-1,-1,14400000,-1,-1,1.1525499457458352,-1,-1,-1,-1,road_runner,2022,hyperdqn,HyperDQN
73,73,-1,11460.0,-1,-1,14600000,-1,-1,1.461479542988447,-1,-1,-1,-1,road_runner,2022,hyperdqn,HyperDQN
74,74,-1,13300.0,-1,-1,14800000,-1,-1,1.696368162379524,-1,-1,-1,-1,road_runner,2022,hyperdqn,HyperDQN
75,75,-1,10040.0,-1,-1,15000000,-1,-1,1.2802068041105508,-1,-1,-1,-1,road_runner,2022,hyperdqn,HyperDQN
76,76,-1,10220.0,-1,-1,15200000,-1,-1,1.3031850386161996,-1,-1,-1,-1,road_runner,2022,hyperdqn,HyperDQN
77,77,-1,10960.0,-1,-1,15400000,-1,-1,1.3976511138060892,-1,-1,-1,-1,road_runner,2022,hyperdqn,HyperDQN
78,78,-1,14020.0,-1,-1,15600000,-1,-1,1.788281100402119,-1,-1,-1,-1,road_runner,2022,hyperdqn,HyperDQN
79,79,-1,13560.0,-1,-1,15800000,-1,-1,1.72955894555435,-1,-1,-1,-1,road_runner,2022,hyperdqn,HyperDQN
80,80,-1,14860.0,-1,-1,16000000,-1,-1,1.89551286142848,-1,-1,-1,-1,road_runner,2022,hyperdqn,HyperDQN
81,81,-1,11220.0,-1,-1,16200000,-1,-1,1.4308418969809154,-1,-1,-1,-1,road_runner,2022,hyperdqn,HyperDQN
82,82,-1,12880.0,-1,-1,16400000,-1,-1,1.6427522818663434,-1,-1,-1,-1,road_runner,2022,hyperdqn,HyperDQN
83,83,-1,13560.0,-1,-1,16600000,-1,-1,1.72955894555435,-1,-1,-1,-1,road_runner,2022,hyperdqn,HyperDQN
84,84,-1,13860.0,-1,-1,16800000,-1,-1,1.767856003063765,-1,-1,-1,-1,road_runner,2022,hyperdqn,HyperDQN
85,85,-1,15160.0,-1,-1,17000000,-1,-1,1.933809918937895,-1,-1,-1,-1,road_runner,2022,hyperdqn,HyperDQN
86,86,-1,12220.0,-1,-1,17200000,-1,-1,1.5584987553456309,-1,-1,-1,-1,road_runner,2022,hyperdqn,HyperDQN
87,87,-1,10860.0,-1,-1,17400000,-1,-1,1.3848854279696177,-1,-1,-1,-1,road_runner,2022,hyperdqn,HyperDQN
88,88,-1,15300.0,-1,-1,17600000,-1,-1,1.9516818791089552,-1,-1,-1,-1,road_runner,2022,hyperdqn,HyperDQN
89,89,-1,12760.0,-1,-1,17800000,-1,-1,1.6274334588625774,-1,-1,-1,-1,road_runner,2022,hyperdqn,HyperDQN
90,90,-1,10700.0,-1,-1,18000000,-1,-1,1.3644603306312633,-1,-1,-1,-1,road_runner,2022,hyperdqn,HyperDQN
91,91,-1,6740.0,-1,-1,18200000,-1,-1,0.8589391715069892,-1,-1,-1,-1,road_runner,2022,hyperdqn,HyperDQN
92,92,-1,12540.0,-1,-1,18400000,-1,-1,1.59934895002234,-1,-1,-1,-1,road_runner,2022,hyperdqn,HyperDQN
93,93,-1,12320.0,-1,-1,18600000,-1,-1,1.5712644411821024,-1,-1,-1,-1,road_runner,2022,hyperdqn,HyperDQN
94,94,-1,12260.0,-1,-1,18800000,-1,-1,1.5636050296802195,-1,-1,-1,-1,road_runner,2022,hyperdqn,HyperDQN
95,95,-1,12000.0,-1,-1,19000000,-1,-1,1.5304142465053936,-1,-1,-1,-1,road_runner,2022,hyperdqn,HyperDQN
96,96,-1,14340.0,-1,-1,19200000,-1,-1,1.829131295078828,-1,-1,-1,-1,road_runner,2022,hyperdqn,HyperDQN
97,97,-1,10940.0,-1,-1,19400000,-1,-1,1.395097976638795,-1,-1,-1,-1,road_runner,2022,hyperdqn,HyperDQN
98,98,-1,15300.0,-1,-1,19600000,-1,-1,1.9516818791089552,-1,-1,-1,-1,road_runner,2022,hyperdqn,HyperDQN
99,99,-1,13100.0,-1,-1,19800000,-1,-1,1.6708367907065806,-1,-1,-1,-1,road_runner,2022,hyperdqn,HyperDQN
100,100,-1,20.0,-1,-1,0,-1,-1,-0.0328707085463842,-1,-1,-1,-1,jamesbond,2022,hyperdqn,HyperDQN
101,101,-1,40.0,-1,-1,200000,-1,-1,0.0401753104455807,-1,-1,-1,-1,jamesbond,2022,hyperdqn,HyperDQN
102,102,-1,50.0,-1,-1,400000,-1,-1,0.0766983199415631,-1,-1,-1,-1,jamesbond,2022,hyperdqn,HyperDQN
103,103,-1,40.0,-1,-1,600000,-1,-1,0.0401753104455807,-1,-1,-1,-1,jamesbond,2022,hyperdqn,HyperDQN
104,104,-1,50.0,-1,-1,800000,-1,-1,0.0766983199415631,-1,-1,-1,-1,jamesbond,2022,hyperdqn,HyperDQN
105,105,-1,50.0,-1,-1,1000000,-1,-1,0.0766983199415631,-1,-1,-1,-1,jamesbond,2022,hyperdqn,HyperDQN
106,106,-1,40.0,-1,-1,1200000,-1,-1,0.0401753104455807,-1,-1,-1,-1,jamesbond,2022,hyperdqn,HyperDQN
107,107,-1,50.0,-1,-1,1400000,-1,-1,0.0766983199415631,-1,-1,-1,-1,jamesbond,2022,hyperdqn,HyperDQN
108,108,-1,110.0,-1,-1,1600000,-1,-1,0.295836376917458,-1,-1,-1,-1,jamesbond,2022,hyperdqn,HyperDQN
109,109,-1,80.0,-1,-1,1800000,-1,-1,0.1862673484295106,-1,-1,-1,-1,jamesbond,2022,hyperdqn,HyperDQN
110,110,-1,140.0,-1,-1,2000000,-1,-1,0.4054054054054054,-1,-1,-1,-1,jamesbond,2022,hyperdqn,HyperDQN
111,111,-1,160.0,-1,-1,2200000,-1,-1,0.4784514243973703,-1,-1,-1,-1,jamesbond,2022,hyperdqn,HyperDQN
112,112,-1,260.0,-1,-1,2400000,-1,-1,0.843681519357195,-1,-1,-1,-1,jamesbond,2022,hyperdqn,HyperDQN
113,113,-1,340.0,-1,-1,2600000,-1,-1,1.1358655953250547,-1,-1,-1,-1,jamesbond,2022,hyperdqn,HyperDQN
114,114,-1,310.0,-1,-1,2800000,-1,-1,1.0262965668371071,-1,-1,-1,-1,jamesbond,2022,hyperdqn,HyperDQN
115,115,-1,310.0,-1,-1,3000000,-1,-1,1.0262965668371071,-1,-1,-1,-1,jamesbond,2022,hyperdqn,HyperDQN
116,116,-1,240.0,-1,-1,3200000,-1,-1,0.7706355003652301,-1,-1,-1,-1,jamesbond,2022,hyperdqn,HyperDQN
117,117,-1,390.0,-1,-1,3400000,-1,-1,1.3184806428049671,-1,-1,-1,-1,jamesbond,2022,hyperdqn,HyperDQN
118,118,-1,380.0,-1,-1,3600000,-1,-1,1.2819576333089846,-1,-1,-1,-1,jamesbond,2022,hyperdqn,HyperDQN
119,119,-1,350.0,-1,-1,3800000,-1,-1,1.1723886048210372,-1,-1,-1,-1,jamesbond,2022,hyperdqn,HyperDQN
120,120,-1,320.0,-1,-1,4000000,-1,-1,1.06281957633309,-1,-1,-1,-1,jamesbond,2022,hyperdqn,HyperDQN
